范围,项目,命名空间,类型,成员,可维护性指数,圈复杂度,继承深度,类耦合度,源代码行,可执行代码行
成员,PersonalTools (Release),PersonalTools,PEParserCLR,ResolutionScopeTables : int[],87,0,,0,1,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,TypeDefOrRefTables : int[],89,0,,0,1,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,FieldTableIndex : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,MethodDefTableIndex : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"HeapIndexSize(byte, int) : int",89,2,,0,8,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"SimpleIndexSize(uint[], int) : int",91,2,,0,7,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"CodedIndexSize(int, uint[], int[]) : int",69,5,,2,16,5
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"ReadHeapIndex(BinaryReader, int) : uint",90,2,,1,7,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"IsTablePresent(ulong, int) : bool",90,1,,0,7,1
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"ReadStringFromHeap(FileStream, BinaryReader, long, uint) : string",53,7,,3,59,20
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"ParseCLRHeaderInfo(FileStream, BinaryReader, PEInfo) : void",62,5,,12,37,8
成员,PersonalTools (Release),PersonalTools,PEParserCLR,"ParseCLRHeader(FileStream, BinaryReader, PEInfo, long) : void",54,3,,12,100,11
类型,PersonalTools (Release),PersonalTools,SHA3, ,80,12,1,10,52,13
成员,PersonalTools (Release),PersonalTools,SHA3,SHA3(int),100,1,,1,52,0
成员,PersonalTools (Release),PersonalTools,SHA3,_outputLengthBits : int,93,0,,0,1,1
成员,PersonalTools (Release),PersonalTools,SHA3,ComputeHash(byte[]) : byte[],93,1,,0,4,1
成员,PersonalTools (Release),PersonalTools,SHA3,"ComputeHash(string, int) : string",72,1,,2,6,4
成员,PersonalTools (Release),PersonalTools,SHA3,"ComputeHash(byte[], int) : byte[]",71,2,,6,23,4
成员,PersonalTools (Release),PersonalTools,SHA3,IsSupported : bool,91,6,,3,5,2
成员,PersonalTools (Release),PersonalTools,SHA3,IsSupported.get() : bool,91,3,,3,3,1
成员,PersonalTools (Release),PersonalTools,SHA3,Dispose() : void,100,1,,1,5,1
类型,PersonalTools (Release),PersonalTools,Utils, ,75,34,1,15,145,44
成员,PersonalTools (Release),PersonalTools,Utils,HexStringToByteArray(string) : byte[],63,3,,5,23,8
